,Name,Brand,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Engine,Price
0,Hyundai Creta 1.6 CRDi SX Option,Hyundai,41000,Diesel,Manual,First,1582,12.5
1,Honda Jazz V,Honda,46000,Petrol,Manual,First,1199,4.5
2,Maruti Ertiga VDI,Maruti,87000,Diesel,Manual,First,1248,6.0
3,Audi A4 New 2.0 TDI Multitronic,Audi,40670,Diesel,Automatic,Second,1968,17.74
4,Nissan Micra Diesel XV,Nissan,86999,Diesel,Manual,First,1461,3.5
5,Toyota Innova Crysta 2.8 GX AT 8S,Toyota,36000,Diesel,Automatic,First,2755,17.5
6,Volkswagen Vento Diesel Comfortline,Volkswagen,64430,Diesel,Manual,First,1598,5.2
7,Tata Indica Vista Quadrajet LS,Tata,65932,Diesel,Manual,Second,1248,1.95
8,Maruti Ciaz Zeta,Maruti,25692,Petrol,Manual,First,1462,9.95
9,Honda City 1.5 V AT Sunroof,Honda,60000,Petrol,Automatic,First,1497,4.49
10,Maruti Swift VDI BSIV,Maruti,64424,Diesel,Manual,First,1248,5.6
11,Land Rover Range Rover 2.2L Pure,Land,72000,Diesel,Automatic,First,2179,27.0
12,Land Rover Freelander 2 TD4 SE,Land,85000,Diesel,Automatic,Second,2179,17.5
13,Mitsubishi Pajero Sport 4X4,Mitsubishi,110000,Diesel,Manual,First,2477,15.0
14,Honda Amaze S i-Dtech,Honda,58950,Diesel,Manual,First,1498,5.4
15,Maruti Swift DDiS VDI,Maruti,25000,Diesel,Manual,First,1248,5.99
16,Renault Duster 85PS Diesel RxL Plus,Renault,77469,Diesel,Manual,First,1461,6.34
17,Mercedes-Benz New C-Class C 220 CDI BE Avantgare,Mercedes-Benz,78500,Diesel,Automatic,First,2143,28.0
18,BMW 3 Series 320d,BMW,32982,Diesel,Automatic,First,1995,18.55
19,Maruti S Cross DDiS 200 Alpha,Maruti,55392,Diesel,Manual,Second,1248,8.25
20,Audi A6 2011-2015 35 TFSI Technology,Audi,55985,Petrol,Automatic,First,1984,23.5
21,Hyundai i20 1.2 Magna,Hyundai,45807,Petrol,Manual,First,1197,1.87
22,Volkswagen Vento Petrol Highline AT,Volkswagen,33000,Petrol,Automatic,First,1598,2.85
23,Honda City Corporate Edition,Honda,51920,Petrol,Manual,First,1497,4.25
24,Nissan Micra Diesel XV,Nissan,54000,Diesel,Manual,First,1461,4.25
25,Maruti Alto K10 2010-2014 VXI,Maruti,54000,Petrol,Manual,Second,998,2.75
26,Honda WRV i-VTEC VX,Honda,37430,Petrol,Manual,First,1199,9.9
27,Toyota Innova 2.5 V Diesel 7-seater,Toyota,262000,Diesel,Manual,Fourth & Above,2494,4.0
28,Renault Duster 110PS Diesel RxZ Pack,Renault,62000,Diesel,Manual,First,1461,7.75
29,Toyota Corolla Altis G,Toyota,87615,Petrol,Manual,First,1798,6.75
30,Mahindra Ssangyong Rexton RX7,Mahindra,72000,Diesel,Automatic,Second,2696,12.5
31,Audi A6 2.7 TDI,Audi,35000,Diesel,Automatic,First,2698,11.5
32,Volkswagen Vento 1.6 Highline,Volkswagen,55431,Petrol,Manual,Second,1598,6.98
33,Maruti Wagon R LXI BSIII,Maruti,83816,Petrol,Manual,Second,1061,1.85
34,Maruti Vitara Brezza ZDi Plus,Maruti,50075,Diesel,Manual,First,1248,8.63
35,Mahindra KUV 100 mFALCON G80 K6 5str AW,Mahindra,52000,Petrol,Manual,First,1198,4.85
36,Mercedes-Benz M-Class ML 350 CDI,Mercedes-Benz,85000,Diesel,Automatic,First,2987,28.0
